id,type,pLoad,qLoad,pGen,vSet
1,3,0,0,0,1.05
2,2,21.7,12.7,23.54,1.1
3,1,2.4,1.2,0,1.0
4,1,7.6,1.6,0,1.0
5,1,0,0,0,1.0
6,1,0,0,0,1.0
7,1,22.8,10.9,0,1.0
8,1,30,30,0,1.0
9,1,0,0,0,1.0
10,1,5.8,2,0,1.0
11,1,0,0,0,1.0
12,1,11.2,7.5,0,1.0
13,2,0,0,37,1.1
14,1,6.2,1.6,0,1.0
15,1,8.2,2.5,0,1.0
16,1,3.5,1.8,0,1.0
17,1,9,5.8,0,1.0
18,1,3.2,0.9,0,1.0
19,1,9.5,3.4,0,1.0
20,1,2.2,0.7,0,1.0
21,1,17.5,11.2,0,1.0
22,2,0,0,21.59,1.1
23,2,3.2,1.6,19.2,1.1
24,1,8.7,6.7,0,1.0
25,1,0,0,0,1.0
26,1,3.5,2.3,0,1.0
27,2,0,0,26.91,1.1
28,1,0,0,0,1.0
29,1,2.4,0.9,0,1.0
30,1,10.6,1.9,0,1.0
